date_found,category,source,title,company,location,comp,link
2026-06-24,Closer,Adzuna,Remote High-Ticket Sales Closer - Inbound Commissions,"7FigureLaw, LLC","Barton, South Canberra",,https://www.adzuna.com.au/details/5773124756?utm_medium=api&utm_source=3e941a8f
2026-06-24,Closer,Adzuna,High Ticket Remote Sales Closer | Australia,"7FigureLaw, LLC","Barton, South Canberra",,https://www.adzuna.com.au/details/5774129341?utm_medium=api&utm_source=3e941a8f
2026-06-24,Closer,Jooble,High Ticket Remote Sales Closer,7Figures,"Doral, FL","$10,000 per month",https://jooble.org/jdp/-8905696704574185416
2026-06-24,Closer,Quick Add,Setter / Closer,Ben Azoulay,Remote,,Filip +381 63 617866
2026-06-24,Closer,Jooble,Remote Consultative Closer (High-Ticket),Curvion Blue,"New York, NY",$90k - $360k,https://jooble.org/jdp/-5924587639753996125
2026-06-24,Closer,Jooble,Remote High-Ticket Closer | Elite Earnings & Inbound Leads,Curvion Blue,"Miami, FL",,https://jooble.org/jdp/6657433662135215899
2026-06-24,Closer,Jooble,High-Ticket Sales Closer,Elite CEOS LLC,"New York, NY",,https://jooble.org/jdp/-811144219035877461
2026-06-24,Closer,Jooble,Remote High-Ticket Life Insurance Closer,Emergent Financial Group,"Longmont, CO",,https://jooble.org/jdp/-8485344936216802095
2026-06-24,Closer,Jooble,Remote Insurance Closer - High-Earning Inbound Sales,Emergent Financial Group,Montana,"$10,000 per month",https://jooble.org/jdp/-4523443440428766366
2026-06-24,Closer,Jooble,Elite Virtual Life Insurance Closer - 100% Remote,Emergent Financial Group,United States,"$10,000 per month",https://jooble.org/jdp/-7616888303756621090
2026-06-24,Closer,Jooble,Remote Insurance Closer with Uncapped Commission,Emergent Financial Group,"Stamford, CT","$10,000 per month",https://jooble.org/jdp/-7622172742831296443
2026-06-24,Closer,JSearch,Sales Development Representative - SDR,Exit Without Selling,Remote,$54000-$90000,https://www.indeed.com/viewjob?jk=cb648f9cc3a6c6dd
2026-06-24,Closer,Himalayas,Enterprise Account Executive - France,name,France,,https://himalayas.app/companies/minio/jobs/enterprise-account-executive-france
2026-06-24,Closer,Jooble,Plumbing Sales (In-Office Sales Closer),P.E.A.C.H. Teams,"Evergreen, AL",$120k - $400k,https://jooble.org/jdp/4433628713627085104
2026-06-24,Closer,Quick Add,Female Closer,Parenting Coaching Company,Remote,"$5,000 – $10,000/month OTE (commission based, bonuses available)",https://docs.google.com/forms/d/e/1FAIpQLSe9sZgYRacPeCp73RD1eqKRlIhJodCmoAtm5k7z4kswwWg5mQ/viewform?usp=header
2026-06-24,Closer,JSearch,"Virtual Sales Rep: Fully Remote, No Cold Calls, Great Training",Stratford Davis Staffing,Remote,$110000-$260000,https://www.linkedin.com/jobs/view/virtual-sales-rep-fully-remote-no-cold-calls-great-training-at-stratford-davis-staffing-4427269937
2026-06-24,Closer,Jooble,Remote B2B Closer - High Commissions + Warm Leads,Terraboost Media,"Portland, OR",,https://jooble.org/jdp/3062664318888261225
2026-06-24,Closer,Jooble,Remote B2B Closer High Commissions + Warm Leads,Terraboost Media,"Wichita, KS","$8,000 per month",https://jooble.org/jdp/-9175173783071325798
2026-06-24,Closer,Quick Add,Closer,Trellthetrainer,United States,OTE $8K–$13K+/mo; packages $2K/$5K/$12K,https://forms.gle/5ToZ8uatqzdWpEWx6
2026-06-24,Other,Quick Add,Dialler,Property Investment,United Kingdom,3k-5k OTE,https://docs.google.com/forms/d/e/1FAIpQLSddrxZCDann1-ZwgcVZZHBdqNM34uc1mXAWhhF23sm8MZTGpg/viewform?usp=header
2026-06-24,Setter / SDR,Quick Add,Setter - Sales Mentorship P/T,,Remote,2k-4k OTE,https://docs.google.com/forms/d/e/1FAIpQLSdRmjuHvnYTpmJr_1PkevnAGVmj_IIJqz3JTZpgUiiVZ3I_4A/viewform?usp=publish-editor
2026-06-24,Setter / SDR,Jooble,Remote Appointment Setter for High-Ticket Sales-Commission,BullRun Solution LLC,"New York, NY","$3,000 - $5,000 per month",https://jooble.org/jdp/3579611271988301989
2026-06-24,Setter — DM Setting,Quick Add,DM Setter,Flipwhips Institute,Remote,5% commission per close,https://docs.google.com/document/d/1Fb0HUUpcWTXPG__Cu6YNFYQM5iQ1Hp95UpVWMaEbiXw/edit
2026-06-24,Success (CSM / customer / client / onboarding),JSearch,"Client Success Manager (Remote) - Performance Marketing Agency, Cash-Pay Healthcare",Clinic Growth Accelerator,Remote,$65000-$100000,https://www.indeed.com/viewjob?jk=60325582cd0c32a2
2026-06-24,Success (CSM / customer / client / onboarding),JSearch,"Customer Success Manager III, Film & Television (Mid-Market Focus)",Wrapbook,Remote,,https://dailyremote.com/remote-job/customer-success-manager-iii-film-television-mid-market-focus-4481346
2026-06-24,VA / Social / Chat,Jooble,Virtual Assistant,AYS,United States,,https://jooble.org/jdp/-4269569011926018191
2026-06-24,VA / Social / Chat,Jooble,Remote Virtual Assistant,eGastroMD,"New York, NY",,https://jooble.org/jdp/4468151444453361376
2026-06-24,VA / Social / Chat,Jooble,Virtual Assistant - Construction and Estimating,jobgether,United States,$21 per hour,https://jooble.org/jdp/-159136107126647555
2026-06-24,VA / Social / Chat,Jooble,"Remote Virtual Assistant - Full-Time, Long-Term Role",Linkserve Solutions BPO Inc.,"New York, NY",,https://jooble.org/jdp/3767116376435079541
2026-06-24,VA / Social / Chat,Jooble,Virtual Assistant(Remote),Local First Arizona,"New York, NY",,https://jooble.org/jdp/2717503451699691986
2026-06-24,VA / Social / Chat,Jooble,Remote Real Estate Virtual Assistant - Listings & Admin,Medium,"Albuquerque, NM",$25 per hour,https://jooble.org/jdp/-465419652535066678
2026-06-24,VA / Social / Chat,Jooble,Real Estate Virtual Assistant,Medium,"Albuquerque, NM",$25 per hour,https://jooble.org/jdp/-4662559612954560346
2026-06-24,VA / Social / Chat,Jooble,Virtual Assistant,Somewhere,United States,"$800 - $1,000 per month",https://jooble.org/jdp/1518171895471589846
2026-06-24,VA / Social / Chat,RemoteOK,Virtual Assistant,Torentify,"Katy, Katy, Texas, United States",,https://remoteOK.com/remote-jobs/remote-virtual-assistant-torentify-1133970
